Frequency (Hz)	Level (dB)
4516.000000	-89.735748
4520.000000	-93.341743
4524.000000	-90.231262
4528.000000	-90.055550
4532.000000	-92.439888
4536.000000	-88.632690
4540.000000	-90.257553
4544.000000	-91.547913
4548.000000	-88.767838
4552.000000	-86.634895
4556.000000	-85.668274
4560.000000	-87.564568
4564.000000	-90.849609
4568.000000	-90.443253
4572.000000	-92.788681
4576.000000	-90.507912
4580.000000	-88.655136
4584.000000	-87.441055
4588.000000	-86.779869
4592.000000	-88.845116
4596.000000	-87.564629
4600.000000	-92.474709
4604.000000	-91.069885
4608.000000	-89.821770
4612.000000	-88.970154
4616.000000	-89.886673
4620.000000	-90.430710
4624.000000	-93.655525
4628.000000	-90.289467
4632.000000	-89.694893
4636.000000	-90.452545
4640.000000	-87.982101
4644.000000	-88.842354
4648.000000	-88.888138
4652.000000	-90.656914
4656.000000	-95.301491
4660.000000	-92.463280
4664.000000	-90.599403
4668.000000	-90.580673
4672.000000	-90.277946
4676.000000	-90.303513
4680.000000	-90.348213
4684.000000	-91.083260
4688.000000	-91.563080
4692.000000	-91.007744
4696.000000	-90.565147
4700.000000	-90.824203
4704.000000	-88.431961
4708.000000	-89.684464
4712.000000	-91.208626
4716.000000	-93.521759
4720.000000	-90.195450
4724.000000	-86.704147
